run#,DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,UB,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
38,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9878,4347.0,1.0,4347.0,4347.0,42.0,12706.0,174.0,174.0,0.0,1.0,1.0
39,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9802,4100.0,1.0,4100.0,4100.0,44.0,13019.0,85.0,85.0,0.0,1.0,1.0
40,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9971,4531.0,1.0,4531.0,4531.0,41.0,12128.0,131.0,131.0,0.0,1.0,1.0
41,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9733,4069.0,1.0,4069.0,4069.0,37.0,11006.0,90.0,90.0,0.0,1.0,1.0
42,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9984,3949.0,1.0,3949.0,3949.0,45.0,13297.0,150.0,150.0,0.0,1.0,1.0
43,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9921,4183.0,1.0,4183.0,4183.0,45.0,13385.0,80.0,80.0,0.0,1.0,1.0
44,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9851,4403.0,1.0,4403.0,4403.0,48.0,14270.0,62.0,62.0,0.0,1.0,1.0
45,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9971,4304.0,1.0,4304.0,4303.0,39.0,11862.0,309.0,309.0,0.0,1.0,1.0
46,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9981,4414.0,1.0,4414.0,4414.0,51.0,15079.0,254.0,254.0,0.0,1.0,1.0
47,Scale-Free Network,Perfect Communication,w Timestamp,0.1,0.0,DSA_ASY,0.7,9771,4498.0,1.0,4511.5,4498.0,41.0,12243.0,375.0,375.0,13.5,1.0,1.0
