DCOP,Perfect Communication,Timestamp Use,Message Lost Prob,lambda,Algorithm,Stochastic,Iteration,Global View Cost,Monotonicy,Agent View Cost,Global Anytime Cost,Value Assignmnet Counter,Algorithm Msgs Counter,Global View Cost Agent Zero,Agent View Cost Agent Zero,Abs Delta Global and POV,Percent Agents With Colors,Number of Colors
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6200,6825.26,0.81,6792.67,6783.84,38.03,18545.78,276.77,274.2,51.36,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6300,6803.19,0.81,6782.06,6772.44,38.69,18871.61,273.75,275.02,45.66,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6400,6795.64,0.78,6782.355,6763.5,39.25,19137.84,280.65,275.83,41.705,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6500,6784.48,0.79,6772.925,6757.24,39.88,19446.59,280.09,275.76,36.345,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6600,6773.51,0.89,6764.605,6751.85,40.49,19745.75,275.3,275.55,33.665,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6700,6764.68,0.89,6758.19,6744.92,41.11,20050.57,276.74,274.54,30.7,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6800,6751.02,0.88,6748.27,6737.45,41.67,20322.78,276.31,274.36,21.74,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,6900,6747.14,0.89,6745.415,6732.88,42.32,20639.24,273.96,273.38,24.325,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7000,6738.56,0.92,6740.49,6728.61,42.92,20931.02,273.97,273.1,18.46,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7100,6736.52,0.91,6734.67,6726.47,43.48,21205.33,274.5,273.02,14.41,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7200,6733.61,0.9,6726.315,6723.85,44.14,21522.62,272.45,273.36,14.505,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7300,6733.47,0.91,6722.81,6720.82,44.71,21799.37,272.58,273.03,20.38,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7400,6732.24,0.88,6717.435,6717.84,45.32,22097.61,273.35,272.52,19.555,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7500,6729.73,0.92,6716.835,6715.1,45.99,22424.66,275.0,271.4,18.415,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7600,6726.82,0.96,6716.455,6713.42,46.48,22662.19,275.04,271.1,15.515,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7700,6721.19,0.97,6716.2,6712.59,47.18,23003.17,273.38,272.41,10.03,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7800,6715.65,0.98,6717.915,6711.04,47.74,23280.77,273.41,272.86,6.365,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,7900,6716.48,0.95,6713.005,6708.8,48.35,23582.58,273.3,273.6,10.065,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8000,6717.86,0.94,6711.965,6708.24,48.94,23868.03,272.8,272.88,10.845,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8100,6715.2,0.97,6710.695,6707.25,49.56,24165.87,272.99,272.85,8.685,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8200,6713.81,0.98,6710.19,6706.79,50.18,24468.23,272.74,273.03,6.75,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8300,6712.42,0.97,6709.8,6706.19,50.77,24755.44,273.79,272.44,5.12,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8400,6713.28,0.95,6708.875,6706.14,51.38,25055.92,273.79,272.44,5.735,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8500,6713.2,0.98,6707.3,6705.04,51.96,25338.49,272.41,272.74,7.98,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8600,6713.22,0.97,6707.38,6704.89,52.62,25660.07,272.39,273.06,7.79,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8700,6709.06,0.98,6709.62,6704.06,53.22,25953.39,272.0,273.62,4.57,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8800,6710.5,0.96,6707.54,6704.06,53.84,26254.06,271.9,272.88,3.14,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,8900,6711.87,0.95,6706.67,6704.06,54.43,26539.81,272.31,272.39,5.27,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9000,6710.98,0.98,6706.805,6703.7,55.06,26844.85,272.86,272.0,4.865,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9100,6711.72,0.98,6706.495,6703.7,55.62,27127.09,272.86,272.0,5.915,1.0,1.0
Random Uniform 0.2,Imperfect Communication,w Timestamp,0.0,100.0,DSA_ASY,0.7,9200,6711.06,0.97,6706.38,6703.7,56.28,27444.17,272.59,272.74,5.68,1.0,1.0
